name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1331,837610,9.48,5.22,5.24,1.05,0.92,1.74,29.93,17.9,13.9,16.9,7.2,67652,88415
"Alma, MI Micro Area",7,40916,12.34,4.59,6.5,0.57,0.33,0.36,25.66,19.2,12.1,10.9,3,47848,63319
"Alpena, MI Micro Area",-494,28520,7.99,5.29,3.33,0.57,0.45,0.85,31.99,16.8,10.9,10.5,2.5,43363,57448
"Altoona, PA Metro Area",-127,123157,9.01,4.83,3.86,0.71,0.4,0.76,30.4,18.3,13,11.8,3.4,49181,65290
"Altus, OK Micro Area",293,25063,12.43,5.32,4.13,1.1,0.69,1.17,27.34,18.8,12.3,11.6,4.7,49703,64649
"Amarillo, TX Metro Area",-541,263776,10.96,5.39,5.52,1.1,0.56,0.91,26.91,19.3,12.4,14.1,4.7,55515,75177
"Americus, GA Micro Area",24,35285,10.57,5.36,9.43,1.13,0.3,0.44,23.4,17,9,9.8,2.8,38156,53284
"Ames, IA Metro Area",-1733,123311,17.82,3.61,22.03,3.92,1.22,2.31,34.15,17.5,13.2,15.9,5.2,58600,75294
"Amsterdam, NY Micro Area",207,49302,9.31,5.55,3.09,0.99,0.7,0.6,27.5,18.8,11.3,12.9,4.8,49462,64908
"Anchorage, AK Metro Area",339,398900,12.8,5.57,5.24,1.35,0.67,1.75,29.34,17.2,13.7,20.5,10.5,83048,105968
"Andrews, TX Micro Area",80,18036,11.52,7.11,2.25,0.21,0.06,0.09,22.14,14.9,18,18.8,7.2,76158,92927
"Angola, IN Micro Area",-183,34453,9.69,5.61,5.42,0.47,0.61,1.17,31.45,22.6,15.6,13.8,4.1,58279,73107
"Ann Arbor, MI Metro Area",3807,367000,14.12,4.82,13.7,4.87,1.91,4.77,33.55,16,12.5,16.7,8.5,72586,101787
"Anniston-Oxford, AL Metro Area",-571,114618,9.69,4.7,5.52,0.79,0.33,0.52,26.4,18.8,11.6,11.8,3.6,47255,63417
"Appleton, WI Metro Area",-1279,235628,9.7,5.77,4.51,0.72,0.78,1.37,32.47,19.6,15.1,18.5,6.9,67616,83714
"Arcadia, FL Micro Area",731,36903,13.1,5.23,2.09,0.19,0.17,0.35,17.75,16.5,9.5,6.7,2,35438,49625
"Ardmore, OK Micro Area",-717,58382,9.33,5.7,3.38,1.44,0.3,0.41,23.56,20.2,12.8,11.8,3.5,51195,65626
"Arecibo, PR Metro Area",0,180567,9.58,4.81,6.1,0.97,0.36,0.65,15.37,9.3,2.8,1.4,0.3,17954,26611
"Arkadelphia, AR Micro Area",-119,22386,12,3.6,17.4,0.86,0.52,0.25,23.81,16.5,13.5,10,2.3,41620,54473
